Best individual,Fitness value,Dimention,InertiaFactor,SocialFactor,PersonalFactor
"[0.6781156571333345, 0.4578211707222297]","(0.00022814141023335714,)",2,0.0,0.5,0.5
"[0.8158459196939374, 0.6655487489019651]","(0.001922046472738713,)",2,0.0,0.5,1.0
"[0.8729825404204119, 0.7621327677905488]","(0.016133552357397617,)",2,0.0,0.5,1.5
"[0.14764708641742066, 0.031544500550408194, 0.017018858203656975, 0.023412639358569805, -0.0016536497847233647]","(1.9628527673104774,)",5,0.0,0.5,0.5
"[-0.4131399814829715, 0.1882175801259461, 0.048407325408434836, 0.01130863805659961, -0.0005609408605656926]","(1.3740884653332839,)",5,0.0,0.5,1.0
"[-0.09081982361494989, 0.019058674081860173, 0.07935267356117211, 0.09709597296275761, 0.09783003044574598]","(2.128133119865117,)",5,0.0,0.5,1.5
"[-0.1774296000196029, 0.09178965846402984, 0.02436620127123914, 0.02733369515364772, 0.044659944125833385, -0.020404801352285163, 0.05663318765829268, 0.06674300439350277, 0.004958463549195586, 0.041887655609315635]","(10.180423858473713,)",10,0.0,0.5,0.5
"[-0.013474954772448484, -0.06934267886700159, -0.021785422124895325, -0.06537013174591866, 0.27558480633366433, 0.24427088553815543, 0.22563578621672087, 0.07827407103047851, 0.004189081890548068, -0.02332460388338173]","(10.06703761344616,)",10,0.0,0.5,1.0
"[-0.042493873906562896, 0.004369923369179354, 0.04444115895775152, 0.039367995063812666, -0.028558840536212243, 0.060896253370150276, 0.025854112689384777, 0.046843987569725166, -0.004531769513744651, -0.031045097722858326]","(8.711984718215835,)",10,0.0,0.5,1.5
"[-0.03811504773868588, 0.16691059811192313, 0.09970293651195258, 0.12917209576640953, 0.04714367547459859, 0.025908793916759126, -0.04098679882389825, 0.09953077633551631, -0.020666915080823547, 0.24934155247109832, 0.28726339622248637, 0.18466663896072752, 0.19565838026702187, -0.014068113763311798, 0.060439124043682374, -0.20094014186140963, 0.10292666959147873, 0.009843746146241603, 0.10445439345566097, 0.09878812366193124]","(44.49745290128382,)",20,0.0,0.5,0.5
"[-0.03095480590718045, 0.14671776134748388, 0.11719002463766195, -0.16785445752044187, -0.003924298897339805, 0.1860001771757065, 0.09661153590121581, 0.12723887243520274, 0.06744820347992346, 0.20586975477925554, 0.011273648695496274, 0.0650882580304694, 0.036559698213733734, 0.08814041576517614, -0.007866437385471731, -0.0029557715844051695, -0.006436388162452302, 0.07712287645385384, -0.21218049258941213, 0.3781431550045997]","(43.4304544670287,)",20,0.0,0.5,1.0
"[0.023545966350841104, -0.09951402026443218, 0.05218517258647209, 0.12319030697341751, -0.062166932634919236, -0.05120011136005429, -0.02473434753860878, 0.005225412904629211, 0.017665259350557856, -0.05566976238370961, -0.12644606338990644, -0.15002314800303124, -0.16227538039458547, 0.1885314011644347, -0.03589519818743008, -0.09883950498091892, -0.10727691754124848, 0.17387344169613012, 0.03767142244933745, 0.24730839223924767]","(42.12653675409961,)",20,0.0,0.5,1.5
"[-0.03133385901616366, -0.043237953107283844, 0.09250439365671108, 0.03668746626123138, 0.024269101009471217, -0.027366439785874764, -0.018637875312108546, -0.16948489297078279, 0.03235935212461677, -0.11803577412012545, -0.10651083819080115, 0.3159961748727011, 0.08010974989381339, 0.06652769525838612, -0.13362037259772425, 0.12824235974637774, 0.0036473080334058737, 0.10006773836430205, 0.10934185654125096, -0.001031758868072686, 0.09260545976469749, -0.18511092418955663, 0.17450368583941817, -0.010653185865643499, 0.3774157107122433, 0.2623248136256965, -0.07512743674076963, 0.022862161785710287, -0.034325578511853284, -0.14785899300985972]","(107.7165087964274,)",30,0.0,0.5,0.5
"[-0.16217959765085532, -0.17727600523201234, 0.157603851718018, 0.1727261493496508, 0.05070060334929469, -0.24149448506028737, 0.1740969834466496, -0.2657572579127012, 0.29351605614412724, -0.002324496358336908, -0.11423540094145081, -0.0026610750588312816, 0.10881457034723853, 0.12994794240692795, -0.013233384776065562, 0.14887866873368383, 0.4195664235335578, 0.48369082596812735, 0.006672820042419679, -0.05117914547601595, 0.03286666245987893, 0.33368573035001925, 0.006812334306513789, 0.25533459699316075, -0.05434085656769179, -0.2627105138045592, 0.35914064719909955, 0.18665601335472456, 0.03455043713246435, -0.2597387061941025]","(116.75089898151153,)",30,0.0,0.5,1.0
"[-0.12605313040235253, 0.14216018636942823, -0.06774892980152307, 0.09451368878845363, -0.10451904429727615, -0.1653429560660895, -0.08072473369477644, 0.013034617028656678, 0.43659626785856354, 0.5247240730073479, 0.483358785634871, 0.4622806002382182, 0.5241508082406344, 0.6040389007927937, 0.4071716132003725, -0.0830560253453572, -0.011875187627015936, -0.43432822399123927, 0.2676370884518364, 0.06711520095364076, -0.014362081584512272, 0.3029672542738533, 0.11281052682169182, -0.023965275877575836, 0.20409537887772988, -0.24638706741701125, 0.11941668345883844, -0.04755701806602332, 0.07239230702600741, 0.04910968467663971]","(105.90724416925111,)",30,0.0,0.5,1.5
